Household Income,Median Age,Per Capita Income,Population,Poverty Count,Poverty Rate,Unemployment Count,Unemployment Rate,state,year
59317.0,38.6,29659.0,890856.0,96805.0,10.866514902520723,35231.0,3.9547356699623735,DE,2011
61835.0,34.1,43993.0,593955.0,101833.0,17.144901549780712,33495.0,5.639316109806298,DC,2011
47827.0,40.5,26733.0,18688787.0,2679400.0,14.336939042646264,948078.0,5.072977716531309,FL,2011
49736.0,35.2,25383.0,9600612.0,1541462.0,16.055872271476026,469316.0,4.888396698043833,GA,2011
67116.0,38.4,29203.0,1346554.0,134387.0,9.980067639322302,43274.0,3.2136847092652796,HI,2011
46890.0,34.5,22788.0,1549987.0,216734.0,13.982955986082466,59871.0,3.862677557940808,ID,2011
56576.0,36.4,29376.0,12790182.0,1640428.0,12.825681448473524,622727.0,4.868789200966804,IL,2011
48393.0,36.8,24497.0,6454254.0,885150.0,13.714210813519271,294244.0,4.5589157166730665,IN,2011
50451.0,38.0,26110.0,3032266.0,347536.0,11.461263622650518,90571.0,2.9869081406446534,IA,2011
50594.0,36.1,26545.0,2830985.0,347184.0,12.263717398714581,95489.0,3.3729956181329115,KS,2011
42248.0,37.8,23033.0,4316040.0,756947.0,17.537997794274382,182507.0,4.228575268069805,KY,2011
44086.0,35.9,23853.0,4484596.0,800705.0,17.854562596051014,172040.0,3.8362429971395415,LA,2011
47898.0,42.4,26195.0,1328543.0,165146.0,12.4306100743446,50266.0,3.7835433252819066,ME,2011
72419.0,37.8,35751.0,5736545.0,502610.0,8.761545494718513,227600.0,3.9675449246889896,MD,2011
65981.0,38.9,35051.0,6512227.0,673467.0,10.341577466510305,287476.0,4.414403859079236,MA,2011
48669.0,38.5,25482.0,9920621.0,1518458.0,15.306078117488813,601515.0,6.063279707994085,MI,2011
58476.0,37.3,30310.0,5278190.0,565154.0,10.707344752651949,201649.0,3.820419499866432,MN,2011
38718.0,35.9,20521.0,2956700.0,617805.0,20.895085737477594,134828.0,4.560083877295633,MS,2011
47202.0,37.7,25371.0,5955802.0,828615.0,13.912735849848602,244812.0,4.1104791596497,MO,2011
45324.0,39.8,24640.0,982854.0,139904.0,14.234464121832948,32646.0,3.3215513189141013,MT,2011
50695.0,36.3,26113.0,1813061.0,211752.0,11.679254035026954,54055.0,2.9814220260653115,NE,2011
55553.0,36.1,27625.0,2673396.0,340903.0,12.751683626368859,145293.0,5.43477285071123,NV,2011
64664.0,40.7,32357.0,1315911.0,101634.0,7.723470660249818,46668.0,3.546440450759968,NH,2011
71180.0,38.7,35678.0,8753064.0,805170.0,9.198721727614467,402751.0,4.6012573425716985,NJ,2011
44631.0,36.5,23537.0,2037136.0,378301.0,18.57023782408244,78901.0,3.873133654306831,NM,2011
56951.0,37.8,31796.0,19302448.0,2722107.0,14.102392608440132,803436.0,4.162352878764393,NY,2011
46291.0,37.3,25256.0,9418736.0,1473556.0,15.644944289764572,455742.0,4.8386747436174025,NC,2011
49415.0,37.1,27305.0,666783.0,78888.0,11.831135466861033,12772.0,1.9154657512264108,ND,2011
48071.0,38.5,25618.0,11525536.0,1654193.0,14.352417102336931,545888.0,4.736335038995151,OH,2011
44287.0,36.3,23770.0,3714520.0,586046.0,15.777166363352466,116866.0,3.1461938554645013,OK,2011
49850.0,38.2,26561.0,3801991.0,550372.0,14.475889080221386,191276.0,5.03094299802393,OR,2011
51651.0,39.9,27824.0,12660739.0,1548869.0,12.233638178624489,508654.0,4.017569590527062,PA,2011
55975.0,39.1,29685.0,1053959.0,129454.0,12.282640975597722,50461.0,4.78775739853258,RI,2011
44587.0,37.7,23854.0,4575864.0,753705.0,16.47131558105748,227214.0,4.965488484797625,SC,2011
48010.0,37.1,24925.0,807697.0,107337.0,13.289265652837635,20958.0,2.5947849255351945,SD,2011
43989.0,37.8,24197.0,6297991.0,1036199.0,16.452849805596742,287097.0,4.558548908691677,TN,2011
50920.0,33.5,25548.0,24774187.0,4120101.0,16.630620411479093,890438.0,3.594216835450544,TX,2011
57783.0,29.1,23650.0,2715379.0,304125.0,11.200093983197188,87453.0,3.2206553854913067,UT,2011
53422.0,41.4,28376.0,624958.0,67761.0,10.842488615234942,22141.0,3.542798076030709,VT,2011
63302.0,37.3,33040.0,7926192.0,818422.0,10.325538417439297,265331.0,3.3475217355320184,VA,2011
58890.0,37.1,30481.0,6652845.0,816509.0,12.27308016344887,286062.0,4.29984465292668,WA,2011
39550.0,41.1,22010.0,1846372.0,313363.0,16.971823662837178,62164.0,3.3668188209093293,WV,2011
52374.0,38.3,27192.0,5664893.0,661655.0,11.679920521005428,219865.0,3.881185399265264,WI,2011
56380.0,36.9,28952.0,554697.0,54900.0,9.897295280125906,14173.0,2.555088633974945,WY,2011
19122.0,36.5,10658.0,3742586.0,1676055.0,44.783339648040155,238059.0,6.3608157568055885,PR,2011
43160.0,37.8,23587.0,4777326.0,842292.0,17.631034599690288,230778.0,4.8306939907387525,AL,2012
69917.0,33.8,32537.0,711139.0,66631.0,9.3696169103368,31369.0,4.4110926274610165,AK,2012
50256.0,36.0,25571.0,6410979.0,1074986.0,16.76789145620349,296132.0,4.6191385122303465,AZ,2012
40531.0,37.4,22007.0,2916372.0,530309.0,18.183859946536312,117354.0,4.023972250453647,AR,2012
61400.0,35.2,29551.0,37325068.0,5590100.0,14.976797898934839,2059444.0,5.517589412027327,CA,2012
58244.0,36.1,31039.0,5042853.0,633878.0,12.569829023372286,218419.0,4.3312585157647865,CO,2012
69519.0,40.0,37807.0,3572213.0,344616.0,9.647129104563474,177706.0,4.974675362303424,CT,2012
60119.0,38.7,29733.0,900131.0,100655.0,11.182261248640478,38591.0,4.2872648536712985,DE,2012
64267.0,33.9,45004.0,605759.0,105606.0,17.433665863817133,36228.0,5.980596243720687,DC,2012
47309.0,40.8,26451.0,18885152.0,2887151.0,15.287941553237168,1049899.0,5.559388666821428,FL,2012
49604.0,35.4,25309.0,9714569.0,1645272.0,16.936129641984113,511530.0,5.265596445915408,GA,2012
67492.0,38.4,29227.0,1362730.0,143001.0,10.49371482245199,46224.0,3.3920145590102218,HI,2012
47015.0,34.7,22581.0,1567803.0,231604.0,14.77251925146208,65289.0,4.1643624868685665,ID,2012
56853.0,36.6,29519.0,12823860.0,1710465.0,13.338144677187678,663891.0,5.1769981893127355,IL,2012
48374.0,37.0,24558.0,6485530.0,927123.0,14.295254204359553,309363.0,4.770049633568884,IN,2012
51129.0,38.0,26545.0,3047646.0,360670.0,11.834379714704394,91676.0,3.008092147185073,IA,2012
51273.0,36.0,26845.0,2851183.0,365656.0,12.824711707386024,100505.0,3.525028032223817,KS,2012
42610.0,38.0,23210.0,4340167.0,781485.0,18.00587396752245,194610.0,4.4839288442126755,KY,2012
44673.0,35.9,24264.0,4529605.0,821224.0,18.1301460061087,182864.0,4.037084911377482,LA,2012
48219.0,42.8,26464.0,1329084.0,171644.0,12.914458378853405,52318.0,3.9363952917949514,ME,2012
72999.0,37.9,36056.0,5785496.0,532116.0,9.197413670323169,246720.0,4.264457187421788,MD,2012
66658.0,39.1,35485.0,6560595.0,698286.0,10.64363826756567,305515.0,4.656818474543847,MA,2012
48471.0,38.8,25547.0,9897264.0,1582022.0,15.984437719353553,614849.0,6.212312816956282,MI,2012
59126.0,37.4,30656.0,5313081.0,582335.0,10.960401318933403,207462.0,3.904740018079905,MN,2012
38882.0,36.0,20670.0,2967620.0,640132.0,21.570551485702342,143126.0,4.822922072232967,MS,2012
47333.0,37.9,25546.0,5982413.0,869036.0,14.526512963916064,259574.0,4.338951523407027,MO,2012
45456.0,39.9,25002.0,990785.0,143119.0,14.445010774285036,35541.0,3.5871556392153696,MT,2012
51381.0,36.3,26523.0,1827306.0,220244.0,12.052934757506405,55912.0,3.0598049806655263,NE,2012
54083.0,36.3,27003.0,2704204.0,379197.0,14.022499781821196,166416.0,6.1539735907498105,NV,2012
64925.0,41.1,32758.0,1317474.0,107800.0,8.182324660676416,48926.0,3.713621672989372,NH,2012
71637.0,38.9,35928.0,8793888.0,850559.0,9.67216093723277,443328.0,5.041319607436439,NJ,2012
44886.0,36.6,23749.0,2055287.0,393139.0,19.128180151969048,88267.0,4.2946313580536435,NM,2012
57683.0,38.0,32104.0,19398125.0,2814409.0,14.508665141605182,869729.0,4.483572510229727,NY,2012
46450.0,37.4,25285.0,9544249.0,1563464.0,16.3812155361831,497589.0,5.213495582523046,NC,2012
51641.0,36.9,28700.0,676253.0,78930.0,11.671667260625831,12709.0,1.879326228497323,ND,2012
48246.0,38.8,25857.0,11533561.0,1723485.0,14.943216583325825,569218.0,4.935318762349287,OH,2012
44891.0,36.3,24046.0,3749005.0,602598.0,16.073544847232803,122629.0,3.2709745652513127,OK,2012
50036.0,38.4,26702.0,3836628.0,584059.0,15.223237697269584,210379.0,5.483434932967177,OR,2012
52267.0,40.1,28190.0,12699589.0,1604464.0,12.633983666715515,548580.0,4.319667353014338,PA,2012
56102.0,39.4,30005.0,1052471.0,133462.0,12.68082445977134,53904.0,5.121661309432754,RI,2012
44623.0,37.9,23906.0,4630351.0,787788.0,17.013569813605926,248835.0,5.373998645027126,SC,2012
49091.0,37.1,25570.0,815871.0,108319.0,13.27648611116218,21687.0,2.6581408090249563,SD,2012
44140.0,38.0,24294.0,6353226.0,1069017.0,16.82636506241081,304598.0,4.794383199968017,TN,2012
51563.0,33.6,25809.0,25208897.0,4270218.0,16.939328999598832,960408.0,3.8097977868686606,TX,2012
58164.0,29.3,23794.0,2766233.0,329564.0,11.913819262513313,96504.0,3.48864321985892,UT,2012
54168.0,41.7,28846.0,625498.0,69411.0,11.096917975756917,22911.0,3.662841447934286,VT,2012
63636.0,37.4,33326.0,8014955.0,859032.0,10.717864292438325,286994.0,3.5807312704812437,VA,2012
59374.0,37.2,30661.0,6738714.0,853960.0,12.672447591632471,309049.0,4.586171782924754,WA,2012
40400.0,41.3,22482.0,1850481.0,316526.0,17.105066196302474,65115.0,3.5188148378718833,WV,2012
52627.0,38.5,27426.0,5687219.0,690832.0,12.14709684997184,230456.0,4.052173830478481,WI,2012
56573.0,36.9,28858.0,562803.0,60636.0,10.773929776493725,15537.0,2.7606462652118062,WY,2012
19515.0,37.0,10850.0,3716727.0,1658412.0,44.620226344307774,242218.0,6.516970442004484,PR,2012
43253.0,38.1,23680.0,4799277.0,870631.0,18.140878303127746,241930.0,5.040967629082464,AL,2013
70760.0,33.6,32651.0,720316.0,69514.0,9.650486730823694,32939.0,4.572854136240205,AK,2013
49774.0,36.3,25358.0,6479703.0,1131901.0,17.46840866008828,316360.0,4.88232253854845,AZ,2013
40768.0,37.5,22170.0,2933369.0,547328.0,18.658682218295752,121235.0,4.132961110586496,AR,2013
61094.0,35.4,29527.0,37659181.0,5885417.0,15.628106729139967,2168665.0,5.75866214403335,CA,2013
58433.0,36.1,31109.0,5119329.0,660874.0,12.909387148198526,231741.0,4.5267846625993355,CO,2013
69461.0,40.2,37892.0,3583561.0,354348.0,9.888153152688067,190709.0,5.321773509645852,CT,2013
59878.0,38.9,29819.0,908446.0,103633.0,11.40772263843971,41207.0,4.535987829766436,DE,2013
65830.0,33.8,45290.0,619371.0,109200.0,17.630789946574833,38994.0,6.295741970482958,DC,2013
46956.0,41.0,26236.0,19091156.0,3052807.0,15.990686996638653,1096028.0,5.741024797031673,FL,2013
49179.0,35.6,25182.0,9810417.0,1736680.0,17.702407553114202,544802.0,5.553301149176432,GA,2013
67402.0,38.3,29305.0,1376298.0,149531.0,10.864725517293492,48748.0,3.5419654755002186,HI,2013
46767.0,34.9,22568.0,1583364.0,240298.0,15.176421846145296,67189.0,4.243433600864994,ID,2013
56797.0,36.8,29666.0,12848554.0,1772333.0,13.794026938751239,700616.0,5.452878199367803,IL,2013
48248.0,37.1,24635.0,6514861.0,969881.0,14.887209412449474,315476.0,4.842405693690164,IN,2013
51843.0,38.1,27027.0,3062553.0,367414.0,11.996984215456846,94913.0,3.0991463657935063,IA,2013
51332.0,36.0,26929.0,2868107.0,382820.0,13.34747971397162,104341.0,3.637974454927937,KS,2013
43036.0,38.2,23462.0,4361333.0,796202.0,18.255932303266,201987.0,4.631313408079594,KY,2013
44874.0,36.0,24442.0,4567968.0,846780.0,18.537345270369673,192166.0,4.206815809567843,LA,2013
48453.0,43.2,26824.0,1328320.0,175624.0,13.221512888460612,53866.0,4.055197542760781,ME,2013
73538.0,38.0,36354.0,5834299.0,558329.0,9.569770078633267,260567.0,4.466123522294623,MD,2013
66866.0,39.2,35763.0,6605058.0,725351.0,10.981750652303125,322730.0,4.88610395245583,MA,2013
48411.0,39.1,25681.0,9886095.0,1625982.0,16.44716139183368,616469.0,6.235717945255432,MI,2013
59836.0,37.6,30913.0,5347740.0,598391.0,11.189605328606103,210815.0,3.9421325644103855,MN,2013
39031.0,36.2,20618.0,2976872.0,653321.0,21.946560013329425,149148.0,5.0102254984426615,MS,2013
47380.0,38.0,25649.0,6007182.0,900929.0,14.997531288381143,267644.0,4.4554002192708655,MO,2013
46230.0,39.9,25373.0,998554.0,148528.0,14.874308249729106,37702.0,3.775659603787076,MT,2013
51672.0,36.3,26899.0,1841625.0,228789.0,12.423213194868662,57525.0,3.1236000814498066,NE,2013
52800.0,36.6,26589.0,2730066.0,403314.0,14.773049442760724,175142.0,6.415302780225827,NV,2013
64916.0,41.5,33134.0,1319171.0,110859.0,8.403686860914924,51670.0,3.916853842299444,NH,2013
71629.0,39.1,36027.0,8832406.0,900583.0,10.196349669614374,472094.0,5.345021503766923,NJ,2013
