date,numbers,powerball
7/12/2017,"['1', '2', '18', '23', '61']",9
7/8/2017,"['8', '10', '29', '40', '59']",26
7/5/2017,"['4', '9', '16', '54', '68']",21
7/1/2017,"['19', '42', '45', '48', '53']",16
6/28/2017,"['29', '37', '46', '53', '68']",8
6/24/2017,"['10', '22', '32', '36', '58']",10
6/21/2017,"['14', '46', '61', '65', '68']",13
6/17/2017,"['10', '13', '32', '53', '62']",21
6/14/2017,"['5', '22', '43', '57', '63']",24
6/10/2017,"['20', '26', '32', '38', '58']",3
6/7/2017,"['5', '21', '57', '66', '69']",13
6/3/2017,"['3', '9', '21', '41', '54']",25
5/31/2017,"['4', '33', '39', '46', '60']",6
5/27/2017,"['5', '10', '28', '55', '67']",9
5/24/2017,"['28', '32', '33', '38', '62']",15
5/20/2017,"['5', '22', '45', '47', '54']",3
5/17/2017,"['4', '11', '39', '45', '48']",9
5/13/2017,"['17', '20', '32', '63', '68']",19
5/10/2017,"['29', '31', '46', '56', '62']",8
5/6/2017,"['11', '21', '31', '41', '59']",21
5/3/2017,"['17', '18', '49', '59', '66']",9
4/29/2017,"['22', '23', '24', '45', '62']",5
4/26/2017,"['1', '15', '18', '26', '51']",26
4/22/2017,"['21', '39', '41', '48', '63']",6
4/19/2017,"['1', '19', '37', '40', '52']",15
4/15/2017,"['5', '22', '26', '45', '61']",13
4/12/2017,"['8', '14', '61', '63', '68']",24
4/8/2017,"['23', '36', '51', '53', '60']",15
4/5/2017,"['8', '20', '46', '53', '54']",13
4/1/2017,"['9', '32', '36', '44', '65']",1
3/29/2017,"['8', '15', '31', '36', '62']",11
3/25/2017,"['18', '31', '32', '45', '48']",16
3/22/2017,"['2', '9', '27', '29', '42']",9
3/18/2017,"['13', '25', '44', '54', '67']",5
3/15/2017,"['16', '30', '41', '48', '53']",16
3/11/2017,"['1', '26', '41', '50', '57']",11
3/8/2017,"['23', '33', '42', '46', '59']",4
3/4/2017,"['2', '18', '19', '22', '63']",19
3/1/2017,"['10', '16', '40', '52', '55']",17
2/25/2017,"['6', '32', '47', '62', '65']",19
2/22/2017,"['10', '13', '28', '52', '61']",2
2/18/2017,"['3', '7', '9', '31', '33']",20
2/15/2017,"['5', '28', '33', '38', '42']",19
2/11/2017,"['5', '9', '17', '37', '64']",2
2/8/2017,"['14', '20', '42', '49', '66']",5
2/4/2017,"['6', '13', '16', '17', '52']",25
2/1/2017,"['9', '43', '57', '60', '64']",10
1/28/2017,"['12', '20', '39', '49', '69']",17
1/25/2017,"['18', '28', '62', '66', '68']",22
1/21/2017,"['23', '25', '45', '52', '67']",2
1/18/2017,"['9', '40', '41', '53', '58']",12
1/14/2017,"['23', '55', '59', '64', '69']",13
1/11/2017,"['1', '3', '13', '16', '43']",24
1/7/2017,"['3', '12', '24', '37', '63']",10
1/4/2017,"['16', '17', '29', '41', '42']",4
12/31/2016,"['1', '3', '28', '57', '67']",9
12/28/2016,"['16', '23', '30', '44', '58']",4
12/24/2016,"['28', '38', '42', '51', '52']",21
12/21/2016,"['25', '33', '40', '54', '68']",3
12/17/2016,"['1', '8', '16', '40', '48']",10
12/14/2016,"['18', '26', '37', '39', '66']",15
12/10/2016,"['12', '21', '32', '44', '66']",15
12/7/2016,"['41', '48', '49', '53', '64']",20
12/3/2016,"['8', '10', '26', '27', '33']",22
11/30/2016,"['3', '14', '18', '25', '45']",7
11/26/2016,"['17', '19', '21', '37', '44']",16
11/23/2016,"['7', '32', '41', '47', '61']",3
11/19/2016,"['16', '24', '28', '43', '61']",21
11/16/2016,"['28', '41', '61', '63', '65']",7
11/12/2016,"['8', '17', '20', '27', '52']",24
11/9/2016,"['1', '25', '28', '31', '54']",2
11/5/2016,"['21', '31', '50', '51', '69']",8
11/2/2016,"['13', '18', '37', '54', '61']",5
10/29/2016,"['19', '20', '21', '42', '48']",23
10/26/2016,"['2', '3', '16', '48', '56']",24
10/22/2016,"['1', '28', '33', '55', '56']",22
10/19/2016,"['10', '16', '38', '43', '63']",23
10/15/2016,"['23', '49', '57', '64', '67']",20
10/12/2016,"['16', '30', '34', '37', '44']",16
10/8/2016,"['3', '54', '61', '64', '68']",9
10/5/2016,"['8', '18', '27', '29', '60']",15
10/1/2016,"['2', '12', '50', '61', '64']",1
9/28/2016,"['30', '38', '52', '53', '62']",1
9/24/2016,"['7', '15', '20', '29', '41']",22
9/21/2016,"['1', '28', '63', '67', '69']",17
9/17/2016,"['9', '19', '51', '55', '62']",14
9/14/2016,"['10', '11', '23', '28', '31']",14
9/10/2016,"['3', '17', '49', '55', '68']",8
9/7/2016,"['22', '23', '29', '33', '55']",21
9/3/2016,"['7', '39', '50', '59', '67']",25
8/31/2016,"['5', '10', '24', '56', '61']",12
8/27/2016,"['4', '32', '48', '49', '63']",20
8/24/2016,"['9', '11', '25', '64', '65']",16
