date,pb_winners,pp_winners,states,total_winners
11/22/2017,1439,606,South Dakota,2045
11/22/2017,9718,4695,Tennessee,14413
11/22/2017,28426,13092,Texas,41518
11/22/2017,679,582,Vermont,1261
11/22/2017,0,0,Virgin Islands,0
11/22/2017,13422,3439,Virginia,16861
11/22/2017,8461,1501,Washington,9962
11/22/2017,4062,867,West Virginia,4929
11/22/2017,10169,2286,Wisconsin,12455
11/22/2017,871,613,Wyoming,1484
11/18/2017,12165,2058,Arizona,14223
11/18/2017,1870,1652,Arkansas,3522
11/18/2017,56428,0,California,56428
11/18/2017,5388,4538,Colorado,9926
11/18/2017,6896,3662,Connecticut,10558
11/18/2017,2545,460,Delaware,3005
11/18/2017,1272,276,Dist. of Columbia,1548
11/18/2017,44425,13271,Florida,57696
11/18/2017,16361,1900,Georgia,18261
11/18/2017,3242,910,Idaho,4152
11/18/2017,14678,2742,Illinois,17420
11/18/2017,10952,2569,Indiana,13521
11/18/2017,5130,2151,Iowa,7281
11/18/2017,4842,640,Kansas,5482
11/18/2017,9376,1495,Kentucky,10871
11/18/2017,9867,3248,Louisiana,13115
11/18/2017,1422,1349,Maine,2771
11/18/2017,10977,1605,Maryland,12582
11/18/2017,12665,1626,Massachusetts,14291
11/18/2017,15163,1764,Michigan,16927
11/18/2017,8617,759,Minnesota,9376
11/18/2017,12529,1135,Missouri,13664
11/18/2017,1039,604,Montana,1643
11/18/2017,4594,886,Nebraska,5480
11/18/2017,4027,710,New Hampshire,4737
11/18/2017,22947,3106,New Jersey,26053
11/18/2017,2689,956,New Mexico,3645
11/18/2017,41899,3910,New York,45809
11/18/2017,14108,5299,North Carolina,19407
11/18/2017,675,739,North Dakota,1414
11/18/2017,12439,3450,Ohio,15889
11/18/2017,2848,2557,Oklahoma,5405
11/18/2017,6406,1238,Oregon,7644
11/18/2017,22791,7341,Pennsylvania,30132
11/18/2017,1,3,Puerto Rico,4
11/18/2017,3137,961,Rhode Island,4098
11/18/2017,5858,4876,South Carolina,10734
11/18/2017,1289,548,South Dakota,1837
11/18/2017,8974,4349,Tennessee,13323
11/18/2017,27320,12141,Texas,39461
11/18/2017,660,594,Vermont,1254
11/18/2017,0,0,Virgin Islands,0
11/18/2017,12120,2910,Virginia,15030
11/18/2017,7083,1120,Washington,8203
11/18/2017,4244,841,West Virginia,5085
11/18/2017,9656,1935,Wisconsin,11591
11/18/2017,653,489,Wyoming,1142
11/15/2017,10290,1841,Arizona,12131
11/15/2017,1558,1401,Arkansas,2959
11/15/2017,53115,0,California,53115
11/15/2017,4693,3974,Colorado,8667
11/15/2017,5732,3086,Connecticut,8818
11/15/2017,2120,382,Delaware,2502
11/15/2017,1099,236,Dist. of Columbia,1335
11/15/2017,35109,11415,Florida,46524
11/15/2017,13176,1650,Georgia,14826
11/15/2017,2852,838,Idaho,3690
11/15/2017,12968,2565,Illinois,15533
11/15/2017,8702,2055,Indiana,10757
11/15/2017,4509,1853,Iowa,6362
11/15/2017,4115,557,Kansas,4672
11/15/2017,7698,1241,Kentucky,8939
11/15/2017,7735,2712,Louisiana,10447
11/15/2017,1191,1201,Maine,2392
11/15/2017,9095,1381,Maryland,10476
11/15/2017,10637,1376,Massachusetts,12013
11/15/2017,12978,1581,Michigan,14559
11/15/2017,7826,686,Minnesota,8512
11/15/2017,10953,1016,Missouri,11969
11/15/2017,931,557,Montana,1488
11/15/2017,3990,753,Nebraska,4743
11/15/2017,3240,561,New Hampshire,3801
11/15/2017,19592,2593,New Jersey,22185
11/15/2017,2305,868,New Mexico,3173
11/15/2017,35701,3353,New York,39054
11/15/2017,11193,4482,North Carolina,15675
11/15/2017,581,631,North Dakota,1212
11/15/2017,10446,2793,Ohio,13239
11/15/2017,2531,2257,Oklahoma,4788
11/15/2017,6152,1180,Oregon,7332
11/15/2017,18852,6382,Pennsylvania,25234
11/15/2017,1,1,Puerto Rico,2
11/15/2017,2337,749,Rhode Island,3086
11/15/2017,4785,4002,South Carolina,8787
11/15/2017,1176,456,South Dakota,1632
11/15/2017,7701,3613,Tennessee,11314
11/15/2017,22826,10129,Texas,32955
11/15/2017,501,464,Vermont,965
11/15/2017,0,0,Virgin Islands,0
11/15/2017,10006,2461,Virginia,12467
11/15/2017,6614,1017,Washington,7631
11/15/2017,3537,727,West Virginia,4264
11/15/2017,8450,1745,Wisconsin,10195
11/15/2017,614,469,Wyoming,1083
11/11/2017,10211,1871,Arizona,12082
11/11/2017,1640,1543,Arkansas,3183
11/11/2017,48489,0,California,48489
11/11/2017,4780,4318,Colorado,9098
11/11/2017,5875,3231,Connecticut,9106
11/11/2017,2238,430,Delaware,2668
11/11/2017,953,206,Dist. of Columbia,1159
11/11/2017,41347,12761,Florida,54108
11/11/2017,13848,1729,Georgia,15577
11/11/2017,2892,862,Idaho,3754
11/11/2017,12657,2464,Illinois,15121
11/11/2017,9315,2270,Indiana,11585
11/11/2017,4614,2068,Iowa,6682
11/11/2017,4274,642,Kansas,4916
11/11/2017,8022,1311,Kentucky,9333
11/11/2017,8125,2835,Louisiana,10960
11/11/2017,1328,1300,Maine,2628
11/11/2017,9995,1484,Maryland,11479
11/11/2017,10086,1371,Massachusetts,11457
11/11/2017,13004,1651,Michigan,14655
11/11/2017,7308,739,Minnesota,8047
11/11/2017,10258,970,Missouri,11228
11/11/2017,879,575,Montana,1454
11/11/2017,3836,713,Nebraska,4549
11/11/2017,3241,635,New Hampshire,3876
11/11/2017,17717,2531,New Jersey,20248
11/11/2017,2441,934,New Mexico,3375
11/11/2017,34585,3349,New York,37934
11/11/2017,12756,5105,North Carolina,17861
11/11/2017,585,651,North Dakota,1236
11/11/2017,10613,3053,Ohio,13666
11/11/2017,2796,2645,Oklahoma,5441
11/11/2017,5492,1083,Oregon,6575
11/11/2017,19125,6493,Pennsylvania,25618
11/11/2017,4,1,Puerto Rico,5
11/11/2017,2553,866,Rhode Island,3419
11/11/2017,5371,4434,South Carolina,9805
11/11/2017,1152,453,South Dakota,1605
11/11/2017,8755,4269,Tennessee,13024
11/11/2017,24087,10587,Texas,34674
11/11/2017,569,520,Vermont,1089
11/11/2017,0,0,Virgin Islands,0
11/11/2017,10742,2690,Virginia,13432
11/11/2017,6043,996,Washington,7039
11/11/2017,3528,751,West Virginia,4279
11/11/2017,8261,1713,Wisconsin,9974
11/11/2017,630,464,Wyoming,1094
11/8/2017,9536,1682,Arizona,11218
11/8/2017,1417,1291,Arkansas,2708
11/8/2017,43272,0,California,43272
11/8/2017,3909,3312,Colorado,7221
11/8/2017,4870,2616,Connecticut,7486
11/8/2017,1763,370,Delaware,2133
11/8/2017,903,220,Dist. of Columbia,1123
11/8/2017,30457,9621,Florida,40078
11/8/2017,11804,1535,Georgia,13339
11/8/2017,2626,775,Idaho,3401
11/8/2017,11278,2490,Illinois,13768
11/8/2017,7928,1933,Indiana,9861
11/8/2017,4003,1774,Iowa,5777
11/8/2017,3759,527,Kansas,4286
11/8/2017,7005,1201,Kentucky,8206
11/8/2017,7335,2621,Louisiana,9956
11/8/2017,1005,1084,Maine,2089
11/8/2017,8050,1271,Maryland,9321
11/8/2017,9044,1276,Massachusetts,10320
11/8/2017,11755,1562,Michigan,13317
11/8/2017,6983,705,Minnesota,7688
11/8/2017,9470,887,Missouri,10357
11/8/2017,893,554,Montana,1447
11/8/2017,3556,681,Nebraska,4237
11/8/2017,2779,512,New Hampshire,3291
11/8/2017,16470,2393,New Jersey,18863
11/8/2017,2093,852,New Mexico,2945
11/8/2017,29896,3064,New York,32960
11/8/2017,9857,3880,North Carolina,13737
