state,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Count,Unemployment Rate,year
PR,3583073.0,38.7,19350.0,11394.0,1616117.0,45.104216408652576,235772.0,6.580161777334707,2015
RI,1053661.0,39.7,56852.0,31118.0,144223.0,13.687799016951372,48418.0,4.595216108406784,2015
SC,4777576.0,38.6,45483.0,24604.0,830901.0,17.391685658166402,217977.0,4.562501988456071,2015
SD,843190.0,36.8,50957.0,26747.0,114907.0,13.627652130599271,20220.0,2.3980360298390635,2015
TN,6499615.0,38.4,45219.0,25227.0,1117594.0,17.194772305744262,266297.0,4.09711959862238,2015
TX,26538614.0,34.1,53207.0,26999.0,4472451.0,16.852617095979465,912068.0,3.4367582270875188,2015
UT,2903379.0,30.1,60727.0,24686.0,351601.0,12.110062103500782,81870.0,2.819817874276834,2015
VA,8256630.0,37.6,65015.0,34152.0,921822.0,11.164627699194465,276030.0,3.343131519760483,2015
VT,626604.0,42.4,55176.0,29894.0,69233.0,11.048924041340305,18957.0,3.025355727062068,2015
WA,6985464.0,37.4,61062.0,31762.0,908512.0,13.005750226470282,277806.0,3.976915491941552,2015
WI,5742117.0,39.0,53357.0,28340.0,724348.0,12.61465065933,193763.0,3.3744174840045926,2015
WV,1851420.0,41.8,41751.0,23450.0,323384.0,17.466809259919412,63341.0,3.4212118265979625,2015
WY,579679.0,36.8,58840.0,29803.0,64995.0,11.212239877587423,15002.0,2.587984039442519,2015
