1_PB PB,1_PB PP,2_PB PB,2_PB PP,3 PB,3 PP,3_PB PB,3_PB PP,4 PB,4 PP,4_PB PB,4_PB PP,5 PB,5 PP,5_PB PB,5_PB PP,PB_Only PB,PB_Only PP,date,pb_winners,pp_winners,state_abbr,states,total_winners
3033,480,385,64,473,69,13,1,7,0,0,0,0,0,0,--,7505,1216,11/29/2017,11416,1830,AZ,Arizona,13246
438,367,65,60,74,73,4,1,1,0,0,0,0,0,0,--,1110,981,11/29/2017,1692,1482,AR,Arkansas,3174
15635,0,2107,0,2402,0,89,0,34,0,0,0,0,0,0,--,37397,0,11/29/2017,57664,0,CA,California,57664
1433,1151,151,147,201,144,12,6,5,1,0,0,0,0,0,--,3563,2789,11/29/2017,5365,4238,CO,Colorado,9603
1508,815,206,103,267,141,8,11,1,2,0,0,0,0,0,--,3822,1973,11/29/2017,5812,3045,CT,Connecticut,8857
550,120,87,10,103,18,4,1,1,0,0,0,0,0,0,--,1464,239,11/29/2017,2209,388,DE,Delaware,2597
307,62,43,9,37,3,1,0,3,0,0,0,0,0,0,--,748,119,11/29/2017,1139,193,DC,Dist. of Columbia,1332
10260,3089,1281,370,1551,460,70,15,17,3,2,0,0,0,0,--,24630,7507,11/29/2017,37811,11444,FL,Florida,49255
3977,479,502,63,598,65,16,4,10,2,0,0,0,0,0,--,9698,1123,11/29/2017,14801,1736,GA,Georgia,16537
900,225,113,26,119,23,7,1,0,0,0,0,0,0,0,--,1984,528,11/29/2017,3123,803,ID,Idaho,3926
3907,708,472,100,655,102,25,4,13,2,0,0,0,0,0,--,9356,1640,11/29/2017,14428,2556,IL,Illinois,16984
2521,580,297,67,344,72,13,6,8,0,0,0,0,0,0,--,6017,1331,11/29/2017,9200,2056,IN,Indiana,11256
1209,506,132,58,174,64,6,4,4,2,0,0,0,0,0,--,3012,1216,11/29/2017,4537,1850,IA,Iowa,6387
1211,171,168,16,203,27,5,0,2,0,0,0,0,0,0,--,2916,368,11/29/2017,4505,582,KS,Kansas,5087
2196,349,292,46,337,51,18,3,5,1,0,0,0,0,0,--,5201,802,11/29/2017,8049,1252,KY,Kentucky,9301
2207,748,282,76,343,106,16,4,3,4,1,0,0,0,0,--,5086,1711,11/29/2017,7938,2649,LA,Louisiana,10587
317,306,27,29,52,53,2,3,2,0,0,0,0,0,0,--,772,691,11/29/2017,1172,1082,ME,Maine,2254
2574,371,351,51,399,63,12,4,8,0,0,0,0,0,0,--,6202,909,11/29/2017,9546,1398,MD,Maryland,10944
3154,357,415,37,499,72,20,0,5,1,0,0,0,0,0,--,7505,862,11/29/2017,11598,1329,MA,Massachusetts,12927
3963,462,530,58,657,69,27,1,12,0,1,0,1,0,0,--,9489,1069,11/29/2017,14680,1659,MI,Michigan,16339
2201,193,267,20,341,25,9,0,5,0,0,0,0,0,0,--,5365,444,11/29/2017,8188,682,MN,Minnesota,8870
3208,259,433,42,448,44,12,2,8,1,0,0,0,0,0,--,7710,640,11/29/2017,11819,988,MO,Missouri,12807
235,147,41,17,45,15,3,2,1,1,0,0,0,0,0,--,636,354,11/29/2017,961,536,MT,Montana,1497
1078,178,113,30,188,35,5,0,6,1,1,0,0,0,0,--,2625,476,11/29/2017,4016,720,NE,Nebraska,4736
920,144,114,15,126,25,3,3,1,0,0,0,0,0,0,--,2166,369,11/29/2017,3330,556,NH,New Hampshire,3886
5760,715,784,79,908,124,34,7,10,0,2,0,0,0,0,--,14166,1654,11/29/2017,21664,2579,NJ,New Jersey,24243
601,243,82,34,92,41,6,2,3,0,0,0,0,0,0,--,1587,610,11/29/2017,2371,930,NM,New Mexico,3301
11330,913,1460,108,1683,125,57,5,25,2,0,1,0,0,0,--,27115,2256,11/29/2017,41670,3410,NY,New York,45080
3238,1184,441,157,539,202,18,6,10,4,0,0,0,0,0,--,7975,3004,11/29/2017,12221,4557,NC,North Carolina,16778
180,203,15,27,31,37,0,0,0,0,0,0,0,0,0,--,442,454,11/29/2017,668,721,ND,North Dakota,1389
3106,779,388,98,508,148,17,2,9,3,1,0,0,0,0,--,7443,1810,11/29/2017,11472,2840,OH,Ohio,14312
744,572,98,73,111,90,1,4,3,1,0,0,0,0,0,--,1755,1372,11/29/2017,2712,2112,OK,Oklahoma,4824
1989,326,218,48,302,57,8,1,2,0,0,0,0,0,0,--,4749,784,11/29/2017,7268,1216,OR,Oregon,8484
5808,1684,685,201,902,263,35,16,14,4,0,0,0,0,0,--,13557,4078,11/29/2017,21001,6246,PA,Pennsylvania,27247
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,11/29/2017,0,0,PR,Puerto Rico,0
583,218,69,17,91,23,4,3,1,0,0,0,0,0,0,--,1507,486,11/29/2017,2255,747,RI,Rhode Island,3002
1285,1039,167,138,199,197,5,10,5,2,0,0,0,0,0,--,3256,2459,11/29/2017,4917,3845,SC,South Carolina,8762
365,108,38,14,49,18,2,3,0,2,0,0,0,0,0,--,815,280,11/29/2017,1269,425,SD,South Dakota,1694
2131,987,271,126,361,157,15,5,5,2,0,0,0,0,0,--,5341,2490,11/29/2017,8124,3767,TN,Tennessee,11891
6793,2834,915,333,1028,447,50,16,13,4,0,0,0,0,0,--,16354,6836,11/29/2017,25153,10470,TX,Texas,35623
148,113,34,9,21,18,0,0,0,0,0,0,0,0,0,--,351,287,11/29/2017,554,427,VT,Vermont,981
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,11/29/2017,0,0,VI,Virgin Islands,0
2895,714,379,90,504,107,10,4,3,5,0,0,0,0,0,--,6955,1599,11/29/2017,10746,2519,VA,Virginia,13265
2059,289,262,42,329,48,15,0,11,1,0,0,0,0,0,--,4828,749,11/29/2017,7504,1129,WA,Washington,8633
906,159,106,32,158,27,9,1,1,0,0,0,0,0,0,--,2295,431,11/29/2017,3475,650,WV,West Virginia,4125
2431,459,281,66,400,75,20,6,7,0,0,0,0,0,0,--,5812,1159,11/29/2017,8951,1765,WI,Wisconsin,10716
136,143,10,16,32,23,0,1,0,1,0,0,0,0,0,--,427,300,11/29/2017,605,484,WY,Wyoming,1089
3310,633,458,101,567,110,26,4,9,1,0,2,0,0,0,--,7462,1348,11/25/2017,11832,2199,AZ,Arizona,14031
514,478,57,77,92,89,1,0,1,0,1,0,0,0,0,--,1216,1098,11/25/2017,1882,1742,AR,Arkansas,3624
15806,0,2206,0,2647,0,96,0,44,0,3,0,1,0,0,--,36281,0,11/25/2017,57084,0,CA,California,57084
1417,1269,201,163,206,204,8,9,0,3,0,0,0,0,0,--,3376,2799,11/25/2017,5208,4447,CO,Colorado,9655
1734,993,270,135,268,176,14,2,7,6,0,1,0,0,0,--,4078,2165,11/25/2017,6371,3478,CT,Connecticut,9849
687,136,77,23,120,15,2,1,3,0,0,0,0,0,0,--,1505,284,11/25/2017,2394,459,DE,Delaware,2853
286,61,35,8,46,9,1,1,2,0,0,0,0,0,0,--,594,159,11/25/2017,964,238,DC,Dist. of Columbia,1202
12692,3920,1708,532,2091,679,75,22,26,10,1,0,0,0,0,--,28685,8564,11/25/2017,45278,13727,FL,Florida,59005
4536,627,584,72,704,91,28,5,11,2,0,0,0,0,0,--,10743,1339,11/25/2017,16606,2136,GA,Georgia,18742
884,272,103,43,162,41,2,0,5,0,0,0,0,0,0,--,2038,557,11/25/2017,3194,913,ID,Idaho,4107
4013,807,541,109,698,147,25,3,12,4,0,0,0,0,0,--,9167,1792,11/25/2017,14456,2862,IL,Illinois,17318
2817,644,368,89,510,114,23,4,9,2,0,0,1,0,0,--,6606,1565,11/25/2017,10334,2418,IN,Indiana,12752
1278,553,195,78,207,91,8,5,4,0,0,0,0,0,0,--,2923,1306,11/25/2017,4615,2033,IA,Iowa,6648
1184,150,175,32,207,21,7,1,1,0,0,0,0,0,0,--,2860,408,11/25/2017,4434,612,KS,Kansas,5046
2488,415,309,62,443,76,15,1,5,1,0,0,0,0,0,--,5410,936,11/25/2017,8670,1491,KY,Kentucky,10161
2383,865,317,107,413,138,14,8,6,3,0,0,0,0,0,--,5543,1945,11/25/2017,8676,3066,LA,Louisiana,11742
419,426,60,59,59,87,5,2,0,2,0,0,0,0,0,--,864,878,11/25/2017,1407,1454,ME,Maine,2861
3017,463,391,73,453,114,15,4,7,2,0,0,0,0,0,--,6880,1078,11/25/2017,10763,1734,MD,Maryland,12497
3672,504,443,70,543,91,25,5,4,2,0,0,0,0,0,--,8190,1067,11/25/2017,12877,1739,MA,Massachusetts,14616
4244,558,548,83,704,91,17,4,7,2,1,0,0,0,0,--,9740,1251,11/25/2017,15261,1989,MI,Michigan,17250
2197,219,308,32,365,28,9,0,3,0,0,0,0,0,0,--,5267,438,11/25/2017,8149,717,MN,Minnesota,8866
3222,318,384,37,541,67,24,0,9,0,0,0,0,0,0,--,7558,637,11/25/2017,11738,1059,MO,Missouri,12797
267,162,36,23,40,21,3,0,2,0,0,0,0,0,0,--,600,360,11/25/2017,948,566,MT,Montana,1514
1189,207,166,29,205,35,4,1,2,0,0,0,0,0,0,--,2713,475,11/25/2017,4279,747,NE,Nebraska,5026
1111,239,173,26,196,41,10,3,3,1,0,0,0,0,0,--,2372,462,11/25/2017,3865,772,NH,New Hampshire,4637
6011,911,850,116,950,128,40,8,19,3,0,0,0,0,0,--,13785,2067,11/25/2017,21655,3233,NJ,New Jersey,24888
682,259,94,32,143,49,5,1,2,1,0,0,0,0,0,--,1564,587,11/25/2017,2490,929,NM,New Mexico,3419
11885,1266,1697,153,1944,194,93,2,34,4,3,0,0,0,0,--,26341,2656,11/25/2017,41997,4275,NY,New York,46272
3823,1542,538,221,623,273,17,9,5,10,0,0,0,0,0,--,8798,3416,11/25/2017,13804,5471,NC,North Carolina,19275
190,189,28,38,35,30,1,0,0,1,0,0,0,0,0,--,386,429,11/25/2017,640,687,ND,North Dakota,1327
3159,954,424,112,520,156,15,8,12,4,0,0,0,0,0,--,7394,2061,11/25/2017,11524,3295,OH,Ohio,14819
770,713,103,96,138,115,5,5,1,2,0,0,0,0,0,--,1943,1560,11/25/2017,2960,2491,OK,Oklahoma,5451
1909,349,231,46,294,50,17,1,5,1,0,0,1,0,0,--,4367,798,11/25/2017,6824,1245,OR,Oregon,8069
6202,2007,814,277,1111,371,39,14,15,5,1,1,0,0,0,--,13955,4581,11/25/2017,22137,7256,PA,Pennsylvania,29393
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,1,0,11/25/2017,1,0,PR,Puerto Rico,1
753,240,106,31,112,41,3,3,0,0,0,0,0,0,0,--,1756,547,11/25/2017,2730,862,RI,Rhode Island,3592
1637,1270,221,186,277,230,10,7,3,4,0,0,0,0,0,--,3799,3004,11/25/2017,5947,4701,SC,South Carolina,10648
360,123,53,14,69,15,2,1,2,0,0,0,0,0,0,--,751,328,11/25/2017,1237,481,SD,South Dakota,1718
2582,1273,371,164,452,236,20,7,4,2,0,0,0,0,0,--,5971,2837,11/25/2017,9400,4519,TN,Tennessee,13919
7472,3207,1037,414,1231,527,46,20,23,1,0,2,0,0,0,--,17185,7485,11/25/2017,26994,11656,TX,Texas,38650
211,149,24,21,37,23,2,1,0,0,0,0,0,0,0,--,414,366,11/25/2017,688,560,VT,Vermont,1248
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,11/25/2017,0,0,VI,Virgin Islands,0
3406,919,490,129,547,136,24,2,15,1,1,0,0,0,0,--,7780,1981,11/25/2017,12263,3168,VA,Virginia,15431
1948,292,264,43,273,45,12,2,8,0,0,0,0,0,0,--,4435,721,11/25/2017,6940,1103,WA,Washington,8043
1053,207,126,28,167,33,3,3,1,1,0,1,0,0,0,--,2389,465,11/25/2017,3739,738,WV,West Virginia,4477
2524,527,318,71,473,97,21,4,4,1,0,0,0,0,0,--,5810,1185,11/25/2017,9150,1885,WI,Wisconsin,11035
189,136,27,23,32,25,2,1,1,0,0,0,0,0,0,--,445,313,11/25/2017,696,498,WY,Wyoming,1194
3532,610,443,77,484,86,13,5,12,2,0,0,0,0,0,--,9269,1866,11/22/2017,13753,2646,AZ,Arizona,16399
554,510,75,58,72,57,4,7,2,2,0,1,0,0,0,--,1472,1324,11/22/2017,2179,1959,AR,Arkansas,4138
16610,0,2008,0,2287,0,96,0,30,0,3,0,0,0,0,--,44388,0,11/22/2017,65422,0,CA,California,65422
1469,1328,194,146,226,195,3,13,5,2,0,0,0,0,0,--,4168,3486,11/22/2017,6065,5170,CO,Colorado,11235
1650,931,209,106,240,122,8,2,2,2,0,0,0,0,0,--,5086,2766,11/22/2017,7195,3929,CT,Connecticut,11124
617,116,99,15,91,22,5,2,1,0,0,0,0,0,0,--,1813,349,11/22/2017,2626,504,DE,Delaware,3130
335,78,41,4,50,8,1,0,0,0,0,0,0,0,0,--,899,188,11/22/2017,1326,278,DC,Dist. of Columbia,1604
11833,3731,1465,459,1587,468,73,14,29,5,0,2,0,0,0,--,33344,11044,11/22/2017,48331,15723,FL,Florida,64054
4361,556,566,56,614,72,32,3,10,2,0,0,0,0,0,--,12311,1613,11/22/2017,17894,2302,GA,Georgia,20196
875,277,106,39,142,32,5,3,1,1,0,0,0,0,0,--,2602,782,11/22/2017,3731,1134,ID,Idaho,4865
4184,803,502,105,600,110,29,6,7,2,1,0,0,0,0,--,11327,2346,11/22/2017,16650,3372,IL,Illinois,20022
2716,647,365,114,432,80,19,2,13,2,0,0,0,0,0,--,7352,1943,11/22/2017,10897,2788,IN,Indiana,13685
1278,533,160,69,192,101,9,0,1,2,0,1,0,0,0,--,3732,1556,11/22/2017,5372,2262,IA,Iowa,7634
1269,172,149,16,190,18,7,2,4,1,0,0,0,0,0,--,3417,492,11/22/2017,5036,701,KS,Kansas,5737
2233,402,314,48,318,50,17,3,7,1,0,0,0,0,0,--,6634,1179,11/22/2017,9523,1683,KY,Kentucky,11206
2315,879,292,113,329,115,11,0,6,0,1,0,0,0,0,--,6129,2269,11/22/2017,9083,3376,LA,Louisiana,12459
338,315,30,36,50,44,2,1,2,0,0,0,0,0,0,--,960,969,11/22/2017,1382,1365,ME,Maine,2747
2866,438,379,46,414,58,19,3,9,1,0,0,0,0,0,--,8030,1316,11/22/2017,11717,1862,MD,Maryland,13579
3305,424,439,44,491,62,19,3,7,1,0,0,0,0,0,--,10253,1572,11/22/2017,14514,2106,MA,Massachusetts,16620
4470,547,568,58,649,87,23,4,10,0,0,0,0,0,0,--,11745,1542,11/22/2017,17465,2238,MI,Michigan,19703
2341,229,297,25,331,29,14,1,4,0,0,0,0,0,0,--,6206,608,11/22/2017,9193,892,MN,Minnesota,10085
3310,331,441,35,472,40,20,1,4,0,0,0,0,0,0,--,9423,932,11/22/2017,13670,1339,MO,Missouri,15009
263,182,48,16,42,22,0,1,3,0,0,0,0,0,0,--,819,565,11/22/2017,1175,786,MT,Montana,1961
1183,243,155,27,160,22,13,3,2,0,0,0,0,0,0,--,3335,647,11/22/2017,4848,942,NE,Nebraska,5790
951,188,122,18,154,22,4,0,0,0,0,0,0,0,0,--,2805,593,11/22/2017,4036,821,NH,New Hampshire,4857
6067,817,761,93,891,118,39,5,11,3,0,0,0,0,0,--,17191,2454,11/22/2017,24960,3490,NJ,New Jersey,28450
742,276,87,44,99,27,4,2,3,1,0,0,0,0,0,--,1857,812,11/22/2017,2792,1162,NM,New Mexico,3954
11057,976,1373,138,1643,97,64,3,20,4,1,0,0,0,0,--,31474,3319,11/22/2017,45632,4537,NY,New York,50169
3545,1441,459,159,534,178,26,10,4,2,1,0,0,0,0,--,10049,4089,11/22/2017,14618,5879,NC,North Carolina,20497
169,208,19,20,31,26,1,0,0,2,0,0,0,0,0,--,496,545,11/22/2017,716,801,ND,North Dakota,1517
3511,918,454,127,488,134,24,6,8,2,0,0,0,0,0,--,9374,2802,11/22/2017,13859,3989,OH,Ohio,17848
746,681,104,71,108,93,5,1,3,1,0,0,0,0,0,--,2011,1946,11/22/2017,2977,2793,OK,Oklahoma,5770
1924,355,229,47,261,41,13,3,4,1,0,0,0,0,0,--,5061,1027,11/22/2017,7492,1474,OR,Oregon,8966
5965,1977,789,232,833,253,42,10,22,1,0,2,0,0,0,--,16870,5779,11/22/2017,24521,8254,PA,Pennsylvania,32775
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,11/22/2017,0,0,PR,Puerto Rico,0
730,221,119,25,97,22,5,2,0,0,0,0,0,0,0,--,2093,728,11/22/2017,3044,998,RI,Rhode Island,4042
1515,1225,191,141,238,171,8,7,3,2,0,0,0,0,0,--,4198,3476,11/22/2017,6153,5022,SC,South Carolina,11175
341,124,38,16,54,18,1,2,0,0,0,0,0,0,0,--,1005,446,11/22/2017,1439,606,SD,South Dakota,2045
2450,1149,331,164,323,150,13,12,2,1,0,1,0,0,0,--,6599,3218,11/22/2017,9718,4695,TN,Tennessee,14413
7192,3259,903,423,1101,478,49,15,16,9,0,0,0,0,0,--,19165,8908,11/22/2017,28426,13092,TX,Texas,41518
151,129,21,18,29,25,1,0,1,0,0,0,0,0,0,--,476,410,11/22/2017,679,582,VT,Vermont,1261
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,11/22/2017,0,0,VI,Virgin Islands,0
3290,787,417,104,473,120,17,4,6,1,0,0,0,0,0,--,9219,2423,11/22/2017,13422,3439,VA,Virginia,16861
2127,352,257,50,315,42,9,2,4,3,1,0,0,0,0,--,5748,1052,11/22/2017,8461,1501,WA,Washington,9962
999,198,131,25,121,19,9,0,3,0,0,0,0,0,0,--,2799,625,11/22/2017,4062,867,WV,West Virginia,4929
2482,540,304,63,358,82,23,2,8,2,0,0,0,0,0,--,6994,1597,11/22/2017,10169,2286,WI,Wisconsin,12455
227,162,21,31,34,16,1,1,0,0,0,0,0,0,0,--,588,403,11/22/2017,871,613,WY,Wyoming,1484
3388,554,397,87,479,88,18,7,8,0,1,0,0,0,0,--,7874,1322,11/18/2017,12165,2058,AZ,Arizona,14223
543,440,66,59,85,79,4,2,1,0,0,0,0,0,0,--,1171,1072,11/18/2017,1870,1652,AR,Arkansas,3522
15397,0,2104,0,2579,0,92,0,41,0,0,0,0,0,0,--,36215,0,11/18/2017,56428,0,CA,California,56428
1472,1234,224,169,239,194,7,4,2,5,0,0,0,0,0,--,3444,2932,11/18/2017,5388,4538,CO,Colorado,9926
1926,989,241,130,299,200,17,8,5,4,0,0,0,0,0,--,4408,2331,11/18/2017,6896,3662,CT,Connecticut,10558
716,120,80,17,124,28,5,0,2,0,0,0,0,0,0,--,1618,295,11/18/2017,2545,460,DE,Delaware,3005
344,85,60,6,57,12,3,1,1,0,0,0,0,0,0,--,807,172,11/18/2017,1272,276,DC,Dist. of Columbia,1548
12148,3537,1584,431,2055,621,84,21,29,6,0,0,1,0,0,--,28524,8655,11/18/2017,44425,13271,FL,Florida,57696
4531,517,562,52,791,93,27,3,14,0,0,0,0,0,0,--,10436,1235,11/18/2017,16361,1900,GA,Georgia,18261
865,244,121,44,146,32,6,2,4,2,0,0,0,0,0,--,2100,586,11/18/2017,3242,910,ID,Idaho,4152
4006,755,533,92,673,138,26,4,15,2,0,1,0,0,0,--,9425,1750,11/18/2017,14678,2742,IL,Illinois,17420
3018,662,396,89,431,131,20,7,7,2,0,0,0,0,0,--,7080,1678,11/18/2017,10952,2569,IN,Indiana,13521
1406,579,191,73,220,81,6,6,1,2,0,0,0,0,0,--,3306,1410,11/18/2017,5130,2151,IA,Iowa,7281
1350,158,162,22,200,37,12,0,4,0,0,0,0,0,0,--,3114,423,11/18/2017,4842,640,KS,Kansas,5482
2526,408,340,68,379,65,18,2,4,0,2,0,0,0,0,--,6107,952,11/18/2017,9376,1495,KY,Kentucky,10871
2690,897,348,135,398,160,22,5,4,6,0,1,1,0,0,--,6404,2044,11/18/2017,9867,3248,LA,Louisiana,13115
365,325,46,40,58,75,2,4,0,2,0,0,0,0,0,--,951,903,11/18/2017,1422,1349,ME,Maine,2771
3041,460,418,54,516,78,17,4,3,0,0,0,0,0,0,--,6982,1009,11/18/2017,10977,1605,MD,Maryland,12582
3434,428,449,54,567,66,17,2,5,1,2,0,0,0,0,--,8191,1075,11/18/2017,12665,1626,MA,Massachusetts,14291
4166,466,533,59,685,87,24,3,5,2,0,0,0,0,0,--,9750,1147,11/18/2017,15163,1764,MI,Michigan,16927
2409,201,298,32,357,34,19,0,3,0,0,0,1,0,0,--,5530,492,11/18/2017,8617,759,MN,Minnesota,9376
3546,301,443,46,532,44,18,5,5,0,0,0,0,0,0,--,7985,739,11/18/2017,12529,1135,MO,Missouri,13664
278,168,41,19,48,25,4,0,0,1,0,0,0,0,0,--,668,391,11/18/2017,1039,604,MT,Montana,1643
1269,258,183,49,192,41,8,0,1,0,0,0,0,0,0,--,2941,538,11/18/2017,4594,886,NE,Nebraska,5480
1102,190,139,27,153,31,5,1,2,1,0,0,0,0,0,--,2626,460,11/18/2017,4027,710,NH,New Hampshire,4737
6302,865,826,91,1077,150,44,6,17,5,0,0,0,0,0,--,14681,1989,11/18/2017,22947,3106,NJ,New Jersey,26053
714,243,100,25,105,44,9,0,1,1,0,0,0,0,0,--,1760,643,11/18/2017,2689,956,NM,New Mexico,3645
11436,1074,1511,128,1972,224,83,7,30,5,0,0,0,0,0,--,26867,2472,11/18/2017,41899,3910,NY,New York,45809
3833,1479,527,186,684,257,31,9,13,7,0,0,0,0,0,--,9020,3361,11/18/2017,14108,5299,NC,North Carolina,19407
173,224,28,23,29,36,2,2,1,1,0,0,0,0,0,--,442,453,11/18/2017,675,739,ND,North Dakota,1414
3477,940,451,102,562,171,23,6,6,2,0,0,0,0,0,--,7920,2229,11/18/2017,12439,3450,OH,Ohio,15889
783,707,109,114,131,128,6,5,1,0,0,1,0,0,0,--,1818,1602,11/18/2017,2848,2557,OK,Oklahoma,5405
1757,317,218,47,280,64,11,3,1,0,0,0,0,0,0,--,4139,807,11/18/2017,6406,1238,OR,Oregon,7644
6242,2074,829,311,1032,351,43,8,17,3,0,0,0,0,0,--,14628,4594,11/18/2017,22791,7341,PA,Pennsylvania,30132
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,--,1,2,11/18/2017,1,3,PR,Puerto Rico,4
840,257,119,34,129,39,5,0,3,0,0,0,0,0,0,--,2041,631,11/18/2017,3137,961,RI,Rhode Island,4098
1627,1359,192,188,272,251,14,3,9,5,0,0,0,0,0,--,3744,3070,11/18/2017,5858,4876,SC,South Carolina,10734
386,131,49,25,56,26,1,1,1,0,0,0,0,0,0,--,796,365,11/18/2017,1289,548,SD,South Dakota,1837
2585,1217,304,193,438,232,18,9,4,2,0,2,0,0,0,--,5625,2694,11/18/2017,8974,4349,TN,Tennessee,13323
7681,3221,944,414,1270,592,51,19,21,8,1,0,0,0,0,--,17352,7887,11/18/2017,27320,12141,TX,Texas,39461
172,148,19,21,37,34,1,4,0,1,0,0,0,0,0,--,431,386,11/18/2017,660,594,VT,Vermont,1254
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,11/18/2017,0,0,VI,Virgin Islands,0
3250,785,448,86,592,141,18,6,8,1,0,0,0,0,0,--,7804,1891,11/18/2017,12120,2910,VA,Virginia,15030
1889,333,264,36,319,52,13,2,2,0,0,0,0,0,0,--,4596,697,11/18/2017,7083,1120,WA,Washington,8203
1163,228,179,34,183,39,11,2,5,1,1,0,0,0,0,--,2702,537,11/18/2017,4244,841,WV,West Virginia,5085
2663,523,364,62,419,89,19,6,5,1,1,0,0,0,0,--,6185,1254,11/18/2017,9656,1935,WI,Wisconsin,11591
172,127,27,23,34,22,1,2,1,0,0,0,0,0,0,--,418,315,11/18/2017,653,489,WY,Wyoming,1142
2685,482,357,55,444,87,18,4,7,1,1,0,0,0,0,--,6778,1212,11/15/2017,10290,1841,AZ,Arizona,12131
421,366,52,49,78,71,4,3,1,0,0,0,0,0,0,--,1002,912,11/15/2017,1558,1401,AR,Arkansas,2959
14046,0,1792,0,2236,0,73,0,34,0,4,0,1,0,0,--,34929,0,11/15/2017,53115,0,CA,California,53115
1198,1040,179,159,210,182,7,9,4,4,0,0,0,0,0,--,3095,2580,11/15/2017,4693,3974,CO,Colorado,8667
1414,774,165,102,240,117,8,2,1,4,0,0,0,0,0,--,3904,2087,11/15/2017,5732,3086,CT,Connecticut,8818
552,91,57,11,103,15,5,1,1,0,0,0,0,0,0,--,1402,264,11/15/2017,2120,382,DE,Delaware,2502
272,62,38,6,51,8,1,1,0,0,0,0,0,0,0,--,737,159,11/15/2017,1099,236,DC,Dist. of Columbia,1335
9041,2881,1180,336,1552,494,65,19,21,3,1,0,0,0,0,--,23249,7682,11/15/2017,35109,11415,FL,Florida,46524
3439,416,458,57,614,68,21,3,9,0,0,1,0,0,0,--,8635,1105,11/15/2017,13176,1650,GA,Georgia,14826
772,217,96,34,107,36,5,1,3,0,0,0,0,0,0,--,1869,550,11/15/2017,2852,838,ID,Idaho,3690
3259,625,451,78,594,121,29,2,14,3,0,0,0,0,0,--,8621,1736,11/15/2017,12968,2565,IL,Illinois,15533
2308,508,293,66,378,96,12,6,6,4,0,0,0,0,0,--,5705,1375,11/15/2017,8702,2055,IN,Indiana,10757
1179,458,129,59,190,78,6,3,4,0,0,0,0,0,0,--,3001,1255,11/15/2017,4509,1853,IA,Iowa,6362
1109,167,137,18,158,29,6,0,3,0,0,0,0,0,0,--,2702,343,11/15/2017,4115,557,KS,Kansas,4672
2028,373,251,38,336,54,13,2,7,1,0,0,0,0,0,--,5063,773,11/15/2017,7698,1241,KY,Kentucky,8939
2049,664,268,83,322,113,5,4,8,3,0,0,0,0,0,--,5083,1845,11/15/2017,7735,2712,LA,Louisiana,10447
301,304,45,35,35,57,2,1,0,0,0,0,0,0,0,--,808,804,11/15/2017,1191,1201,ME,Maine,2392
2331,352,352,38,450,74,9,2,9,1,0,0,0,0,0,--,5944,914,11/15/2017,9095,1381,MD,Maryland,10476
2699,354,362,44,435,48,17,2,5,1,0,0,0,0,0,--,7119,927,11/15/2017,10637,1376,MA,Massachusetts,12013
3427,390,427,48,577,66,35,2,9,4,2,0,0,0,0,--,8501,1071,11/15/2017,12978,1581,MI,Michigan,14559
2077,193,267,14,322,38,11,0,5,2,0,0,0,0,0,--,5144,439,11/15/2017,7826,686,MN,Minnesota,8512
2906,244,391,32,488,28,24,2,6,2,1,0,0,0,0,--,7137,708,11/15/2017,10953,1016,MO,Missouri,11969
224,148,27,16,31,22,1,2,0,0,0,0,0,0,0,--,648,369,11/15/2017,931,557,MT,Montana,1488
1051,207,113,21,166,30,6,0,2,1,0,0,0,0,0,--,2652,494,11/15/2017,3990,753,NE,Nebraska,4743
853,126,96,17,122,20,2,2,2,1,0,0,0,0,0,--,2165,395,11/15/2017,3240,561,NH,New Hampshire,3801
5029,674,665,95,794,89,25,7,13,2,1,0,0,0,0,--,13065,1726,11/15/2017,19592,2593,NJ,New Jersey,22185
603,234,87,22,96,44,7,0,2,0,0,0,0,0,0,--,1510,568,11/15/2017,2305,868,NM,New Mexico,3173
9239,888,1219,116,1584,102,60,8,29,1,1,0,0,0,0,--,23569,2238,11/15/2017,35701,3353,NY,New York,39054
3002,1156,391,165,509,197,20,12,14,3,1,0,0,1,0,--,7256,2948,11/15/2017,11193,4482,NC,North Carolina,15675
158,172,18,29,19,34,0,0,0,0,0,0,0,0,0,--,386,396,11/15/2017,581,631,ND,North Dakota,1212
2702,688,415,73,445,135,26,4,8,3,0,0,0,0,0,--,6850,1890,11/15/2017,10446,2793,OH,Ohio,13239
685,627,92,95,103,102,7,5,2,2,0,0,0,0,0,--,1642,1426,11/15/2017,2531,2257,OK,Oklahoma,4788
1627,315,226,35,262,41,8,2,9,4,2,0,0,0,0,--,4018,783,11/15/2017,6152,1180,OR,Oregon,7332
